,Income Statement Trending Detail - GGM,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1/1/2026 to 6/30/2026,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Included:,,,,,,,,,,,,,,
,Allure of Mendota,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,January 26_Actual $,January 26_Actual / Day,February 26_Actual $,February 26_Actual / Day,March 26_Actual $,March 26_Actual / Day,April 26_Actual $,April 26_Actual / Day,May 26_Actual $,May 26_Actual / Day,June 26_Actual $,June 26_Actual / Day,TOTALS_Actual $,TOTALS_Actual / Day
   RX Drugs,"4,945",2.3,"4,755",2.51,"4,393",2.15,"3,389",1.78,"4,090",1.97,"4,382",2.14,"25,953",2.14
   Drugs Managed Care,"1,577",0.73,"4,088",2.16,"2,678",1.31,"4,231",2.22,"2,929",1.41,"3,901",1.91,"19,404",1.6
   VA - Drugs,693,,407,,473,,782,,644,,415,,"3,414",
   Radiology,144,0.07,619,0.33,308,0.15,664,0.35,-361,-0.17,"1,039",0.51,"2,414",0.2
   Laboratory,"1,091",0.51,"1,148",0.61,"1,042",0.51,"1,136",0.6,988,0.48,0,0,"5,404",0.45
TOTAL Therapy & Ancillary Services,"51,760",24.07,"51,683",27.33,"59,297",29,"52,683",27.67,"51,004",24.56,"53,814",26.29,"320,240",26.44
Social Services,,,,,,,,,,,,,,
   Payroll Social Services,"4,535",2.11,"4,019",2.13,"4,441",2.17,"4,414",2.32,"4,532",2.18,"4,325",2.11,"26,267",2.17
   Payroll Admissions,633,0.29,289,0.15,796,0.39,"5,293",2.78,"5,223",2.51,"4,632",2.26,"16,865",1.39
   Social Service Supplies,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Social Service Consultant,280,0.13,280,0.15,"1,284",0.63,280,0.15,0,0,296,0.14,"2,419",0.2
TOTAL Social Services,"5,448",2.53,"4,588",2.43,"6,521",3.19,"9,987",5.25,"9,755",4.7,"9,253",4.52,"45,552",3.76
Leisure Time & Activities,,,,,,,,,,,,,,
   Payroll Activity,"7,132",3.32,"6,156",3.26,"7,589",3.71,"6,903",3.63,"7,502",3.61,"7,784",3.8,"43,067",3.56
   Activity Supplies,440,0.2,777,0.41,117,0.06,540,0.28,937,0.45,748,0.37,"3,558",0.29
TOTAL Leisure Time & Activities,"7,572",3.52,"6,933",3.67,"7,706",3.77,"7,443",3.91,"8,439",4.06,"8,532",4.17,"46,625",3.85
House & Plant Costs,,,,,,,,,,,,,,
   Payroll Housekeeping,"10,157",4.72,"7,747",4.1,"9,266",4.53,"9,067",4.76,"9,088",4.38,"7,093",3.46,"52,418",4.33
   Payroll Laundry,"7,418",3.45,"6,152",3.25,"6,200",3.03,"6,619",3.48,"7,205",3.47,"6,451",3.15,"40,045",3.31
