,Income Statement Trending Detail - GGM,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1/1/2026 to 6/30/2026,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Included:,,,,,,,,,,,,,,
,Allure of Peru,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,January 26_Actual $,January 26_Actual / Day,February 26_Actual $,February 26_Actual / Day,March 26_Actual $,March 26_Actual / Day,April 26_Actual $,April 26_Actual / Day,May 26_Actual $,May 26_Actual / Day,June 26_Actual $,June 26_Actual / Day,TOTALS_Actual $,TOTALS_Actual / Day
   RX Drugs,"8,881",3.56,"7,911",3.46,"4,996",1.99,"7,722",3.17,"9,455",3.85,"9,135",3.9,"48,102",3.31
   Drugs Managed Care,"6,882",2.76,"4,729",2.07,"1,515",0.6,"6,301",2.59,"4,394",1.79,"8,440",3.61,"32,262",2.22
   VA - Drugs,0,,0,,0,,0,,0,,0,,0,
   Radiology,816,0.33,"1,456",0.64,747,0.3,384,0.16,-81,-0.03,651,0.28,"3,973",0.27
   Laboratory,348,0.14,"3,030",1.32,"3,411",1.36,"2,011",0.83,"1,459",0.59,187,0.08,"10,446",0.72
TOTAL Therapy & Ancillary Services,"69,501",27.84,"64,721",28.27,"62,024",24.69,"67,035",27.51,"66,741",27.2,"62,119",26.54,"392,140",26.99
Social Services,,,,,,,,,,,,,,
   Payroll Social Services,"6,150",2.46,"5,355",2.34,"5,950",2.37,"5,698",2.34,"5,941",2.42,"5,917",2.53,"35,012",2.41
   Payroll Admissions,"7,720",3.09,"7,829",3.42,"7,883",3.14,"4,371",1.79,"3,988",1.62,"3,504",1.5,"35,296",2.43
   Social Service Supplies,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Social Service Consultant,280,0.11,490,0.21,210,0.08,490,0.2,350,0.14,"1,015",0.43,"2,835",0.2
TOTAL Social Services,"14,150",5.67,"13,675",5.97,"14,043",5.59,"10,559",4.33,"10,279",4.19,"10,436",4.46,"73,142",5.03
Leisure Time & Activities,,,,,,,,,,,,,,
   Payroll Activity,"10,744",4.3,"8,629",3.77,"9,610",3.83,"9,296",3.81,"9,686",3.95,"9,544",4.08,"57,508",3.96
   Activity Supplies,"1,785",0.72,809,0.35,"1,576",0.63,"1,595",0.65,"1,854",0.76,"2,629",1.12,"10,247",0.71
TOTAL Leisure Time & Activities,"12,528",5.02,"9,438",4.12,"11,186",4.45,"10,891",4.47,"11,540",4.7,"12,173",5.2,"67,756",4.66
House & Plant Costs,,,,,,,,,,,,,,
   Payroll Housekeeping,"16,568",6.64,"14,026",6.13,"12,961",5.16,"11,168",4.58,"12,531",5.11,"14,468",6.18,"81,722",5.62
   Payroll Laundry,"5,537",2.22,"6,363",2.78,"7,364",2.93,"7,589",3.11,"6,765",2.76,"6,453",2.76,"40,071",2.76
   Payroll Maintenance,"8,205",3.29,"7,679",3.35,"9,237",3.68,"8,245",3.38,"9,622",3.92,"9,181",3.92,"52,169",3.59
   Payroll Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Housekeeping Supplies,"1,683",0.67,"2,154",0.94,"1,538",0.61,"1,306",0.54,"1,244",0.51,"1,232",0.53,"9,157",0.63
   Covid-19 Housekeeping Supplies,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Laundry Supplies,52,0.02,788,0.34,404,0.16,740,0.3,395,0.16,377,0.16,"2,755",0.19
   Linen Replacement,351,0.14,263,0.11,261,0.1,424,0.17,310,0.13,148,0.06,"1,757",0.12
   Maintenance Supplies,537,0.22,818,0.36,583,0.23,"3,151",1.29,"2,549",1.04,966,0.41,"8,604",0.59
   Maintenance Services,"10,178",4.08,"12,482",5.45,"3,991",1.59,"11,494",4.72,"5,346",2.18,"29,255",12.5,"72,745",5.01
   Lawn & Snow Removal Services,0,0,775,0.34,605,0.24,0,0,760,0.31,"5,000",2.14,"7,140",0.49
   Scavenger,"1,015",0.41,"1,111",0.49,-889,-0.35,"1,085",0.45,960,0.39,927,0.4,"4,209",0.29
   Exterminator,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Electric & Gas,"1,916",0.77,"-2,827",-1.24,"1,691",0.67,"5,639",2.31,"8,686",3.54,"2,107",0.9,"17,212",1.18
   Water & Sewer,"3,087",1.24,"2,500",1.09,"2,301",0.92,"2,472",1.01,"9,299",3.79,"3,908",1.67,"23,567",1.62
TOTAL House & Plant Costs,"49,129",19.68,"46,133",20.15,"40,048",15.94,"53,313",21.88,"58,466",23.82,"74,021",31.62,"321,109",22.1
Food & Nutrition,,,,,,,,,,,,,,
   Payroll Dietary,"27,373",10.97,"24,196",10.57,"26,793",10.67,"25,798",10.59,"26,988",11,"26,712",11.41,"157,860",10.87
   Food,"21,724",8.7,"18,741",8.19,"18,383",7.32,"21,239",8.72,"14,330",5.84,"20,887",8.92,"115,303",7.94
   Food Supplements,"1,522",0.61,"1,152",0.5,"2,044",0.81,"2,868",1.18,"1,628",0.66,"2,331",1,"11,546",0.79
   Dietary Supplies,"2,775",1.11,"2,799",1.22,"1,913",0.76,"2,317",0.95,"1,796",0.73,"3,071",1.31,"14,671",1.01
   Covid-19 Dietary Supplies,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Dietary Consultant,136,0.05,136,0.06,136,0.05,170,0.07,133,0.05,134,0.06,844,0.06
TOTAL Food & Nutrition,"53,529",21.45,"47,025",20.54,"49,269",19.61,"52,392",21.5,"44,875",18.29,"53,135",22.7,"300,224",20.66
Employee Welfare Costs,,,,,,,,,,,,,,
   Payroll Taxes,"33,360",13.37,"29,234",12.77,"30,363",12.09,"29,332",12.04,"30,499",12.43,"29,954",12.8,"182,742",12.58
   Workmans Comp Insurance,"1,985",0.8,"1,985",0.87,"1,985",0.79,"1,985",0.81,"2,511",1.02,"2,005",0.86,"12,454",0.86
   Employee Benefits,"1,507",0.6,92,0.04,25,0.01,908,0.37,"6,179",2.52,"-4,664",-1.99,"4,048",0.28
   Employee Insurance,"14,306",5.73,"15,528",6.78,"11,064",4.4,"4,202",1.72,"12,509",5.1,"12,859",5.49,"70,470",4.85
   Education & Seminars,0,0,0,0,0,0,200,0.08,0,0,0,0,200,0.01
   Pension,"1,778",0.71,"3,364",1.47,"3,509",1.4,-582,-0.24,"-1,963",-0.8,"14,630",6.25,"20,735",1.43
