original_filename,operator,detail,dest_path,size_bytes
59ac6577-Bridgeport_T12__Budget_08.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/59ac6577-Bridgeport_T12__Budget_08.2025.xlsx,48858
5db8086f-2025_YE_Mendota_Financial_Statements.xlsx,Allure,Income Statement Trending Detail - GGM,data/raw/allure/5db8086f-2025_YE_Mendota_Financial_Statements.xlsx,130102
5e282088-Arcola_T12__Budget_01.2026.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/5e282088-Arcola_T12__Budget_01.2026.xlsx,62899
608af48f-01.31.25_Financial_Statements_-_MTD_Only.xlsx,Curis,Petersen Group consolidated statement,data/raw/curis/608af48f-01.31.25_Financial_Statements_-_MTD_Only.xlsx,94339
614cc5eb-Arcola_T12__Budget_12.2024.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/614cc5eb-Arcola_T12__Budget_12.2024.xlsx,36293
618a5c44-Peterson__Breese_Mar6_PL.xlsx,Evercare,Petersen 4-Pack by-tab workbook (Evercare),data/raw/evercare/618a5c44-Peterson__Breese_Mar6_PL.xlsx,47435
62bd6ced-Bement_T12__Budget_12.2024.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/62bd6ced-Bement_T12__Budget_12.2024.xlsx,34623
62ebb0a0-Farmer_City_T12__Budget_07.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/62ebb0a0-Farmer_City_T12__Budget_07.2025.xlsx,54537
633bea35-04.30.25_Petersen_Financial_Statements_-_MTD_Only.xlsx,Curis,Petersen Group consolidated statement,data/raw/curis/633bea35-04.30.25_Petersen_Financial_Statements_-_MTD_Only.xlsx,93251
63dbeb9e-Bement_T12__Budget_05.2026.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/63dbeb9e-Bement_T12__Budget_05.2026.xlsx,61742
646d0758-Lincoln_Income_Statement__by_Facility_Preliminary_12.31.24.xlsx,Lincoln,Multi-facility income statement by facility,data/raw/lincoln/646d0758-Lincoln_Income_Statement__by_Facility_Preliminary_12.31.24.xlsx,17384
6ac35b80-St_Elmo_T12__Budget_04.2026.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/6ac35b80-St_Elmo_T12__Budget_04.2026.xlsx,63513
6c9b22b9-St_Elmo_T12__Budget_11.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/6c9b22b9-St_Elmo_T12__Budget_11.2025.xlsx,55564
6cf83890-Sandwich_PL_063026.xlsm,Lineage,Facility PL export (.xlsm),data/raw/lineage/6cf83890-Sandwich_PL_063026.xlsm,335280
6e9934a7-Walnut_PL_T12_Combined_2026-06.csv,Allure,Income Statement Trending Detail - GGM,data/raw/allure/6e9934a7-Walnut_PL_T12_Combined_2026-06.csv,21051
6f06922d-08.31.25_Petersen_Financial_Statements_-_MTD_Only.xls,Curis,Petersen Group consolidated statement,data/raw/curis/6f06922d-08.31.25_Petersen_Financial_Statements_-_MTD_Only.xls,98279
6f8ea696-Sandwich_PL_02282026.xlsm,Lineage,Facility PL export (.xlsm),data/raw/lineage/6f8ea696-Sandwich_PL_02282026.xlsm,341897
6fc82c92-Bridgeport_T12__Budget_11.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/6fc82c92-Bridgeport_T12__Budget_11.2025.xlsx,56968
70353a22-Farmer_City_T12__Budget_10.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/70353a22-Farmer_City_T12__Budget_10.2025.xlsx,62832
717b64b8-Lincoln_Income_Statement__by_Facility_Preliminary_10.31.25.xlsx,Lincoln,Multi-facility income statement by facility,data/raw/lincoln/717b64b8-Lincoln_Income_Statement__by_Facility_Preliminary_10.31.25.xlsx,15213
72f6e703-Arcola_Balance_Sheet_01.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/72f6e703-Arcola_Balance_Sheet_01.2025.xlsx,20370
7333936b-Bridgeport_T12__Budget_10.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/7333936b-Bridgeport_T12__Budget_10.2025.xlsx,54305
73d552fd-Bement_T12__Budget_07.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/73d552fd-Bement_T12__Budget_07.2025.xlsx,53375
75e2881b-Bement_T12__Budget_05.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/75e2881b-Bement_T12__Budget_05.2025.xlsx,49489
77c97b9c-Tuscola_T12__Budget_04.2026.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/77c97b9c-Tuscola_T12__Budget_04.2026.xlsx,62511
7822cb42-Tuscola_T12__Budget_06.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/7822cb42-Tuscola_T12__Budget_06.2025.xlsx,53750
79a0b362-Arcola_T12__Budget_09.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/79a0b362-Arcola_T12__Budget_09.2025.xlsx,60179
7a17a160-Farmer_City_T12__Budget_vs_Actual_01.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/7a17a160-Farmer_City_T12__Budget_vs_Actual_01.2025.xlsx,39133
7bf0643a-Bridgeport_T12__Budget_09.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/7bf0643a-Bridgeport_T12__Budget_09.2025.xlsx,51087
7cf4812c-Arcola_T12__Budget_05.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/7cf4812c-Arcola_T12__Budget_05.2025.xlsx,49769
7f18e69b-Meadowbrook_T12__Budget_02.2026.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/7f18e69b-Meadowbrook_T12__Budget_02.2026.xlsx,62068
7f9dca9c-Peru_PL_2026-06.csv,Allure,Income Statement Trending Detail - GGM,data/raw/allure/7f9dca9c-Peru_PL_2026-06.csv,22276
7ffac56d-Meadowbrook_T12__Budget_06.2026.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/7ffac56d-Meadowbrook_T12__Budget_06.2026.xlsx,62276
81b85db3-Tuscola_T12__Budget_02.2026.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/81b85db3-Tuscola_T12__Budget_02.2026.xlsx,62898
82183a94-Tuscola_T12__Budget_05.2026.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/82183a94-Tuscola_T12__Budget_05.2026.xlsx,62189
83e8ccc9-Lincoln_Income_Statement__by_Facility_Preliminary_5.31.25.xlsx,Lincoln,Multi-facility income statement by facility,data/raw/lincoln/83e8ccc9-Lincoln_Income_Statement__by_Facility_Preliminary_5.31.25.xlsx,15243
85ba71cb-Bement_T12__Budget_03.2026.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/85ba71cb-Bement_T12__Budget_03.2026.xlsx,61688
8623d4e3-Meadowbrook_T12__Budget_05.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/8623d4e3-Meadowbrook_T12__Budget_05.2025.xlsx,49725
86a6e155-Bement_T12__Budget_02.2026.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/86a6e155-Bement_T12__Budget_02.2026.xlsx,60762
87512f5b-Lincoln_Income_Statement__by_Facility_Preliminary_3.31.26.xlsx,Lincoln,Multi-facility income statement by facility,data/raw/lincoln/87512f5b-Lincoln_Income_Statement__by_Facility_Preliminary_3.31.26.xlsx,20458
89724404-Farmer_City_T12__Budget_06.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/89724404-Farmer_City_T12__Budget_06.2025.xlsx,52675
8cf578dc-03.31.26_Petersen_Financial_Statements_-_MTD_Only_NO_ADDBACKS.xls,Curis,Petersen Group consolidated statement,data/raw/curis/8cf578dc-03.31.26_Petersen_Financial_Statements_-_MTD_Only_NO_ADDBACKS.xls,92547
8e8f1d0c-Bement_Balance_Sheet_12.2024.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/8e8f1d0c-Bement_Balance_Sheet_12.2024.xlsx,19730
91c77d5a-Tuscola_T12__Budget_12.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/91c77d5a-Tuscola_T12__Budget_12.2025.xlsx,64381
923f4342-Farmer_City_T12__Budget_01.2026.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/923f4342-Farmer_City_T12__Budget_01.2026.xlsx,62999
97190840-North_Aurora_PL_02282026.xlsm,Lineage,Facility PL export (.xlsm),data/raw/lineage/97190840-North_Aurora_PL_02282026.xlsm,339112
984d91db-Meadowbrook_T12__Budget_12.2024.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/984d91db-Meadowbrook_T12__Budget_12.2024.xlsx,51130
9e006658-Lincoln_Income_Statement__by_Facility_Preliminary_1.31.25.xlsx,Lincoln,Multi-facility income statement by facility,data/raw/lincoln/9e006658-Lincoln_Income_Statement__by_Facility_Preliminary_1.31.25.xlsx,17125
9e971604-Meadowbrook_T12__Budget_07.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/9e971604-Meadowbrook_T12__Budget_07.2025.xlsx,54475
9f1108dc-Arcola_T12__Budget_06.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/9f1108dc-Arcola_T12__Budget_06.2025.xlsx,52697
9fda5407-Arcola_T12__Budget_07.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/9fda5407-Arcola_T12__Budget_07.2025.xlsx,54851
a07e136f-Bridgeport_T12__Budget_02.2026.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/a07e136f-Bridgeport_T12__Budget_02.2026.xlsx,63899
a14af177-North_Aurora_PL_063026.xlsm,Lineage,Facility PL export (.xlsm),data/raw/lineage/a14af177-North_Aurora_PL_063026.xlsm,331906
a1805234-Peru_YTD_2026_PL.csv,Allure,Income Statement Trending Detail - GGM,data/raw/allure/a1805234-Peru_YTD_2026_PL.csv,13472
a5856d9f-Meadowbrook_T12__Budget_01.2026.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/a5856d9f-Meadowbrook_T12__Budget_01.2026.xlsx,61760
a5a69934-Irving_Park_PL_063026.xlsm,Lineage,Facility PL export (.xlsm),data/raw/lineage/a5a69934-Irving_Park_PL_063026.xlsm,339486
