original_filename,operator,detail,dest_path,size_bytes
d07da98e-Meadowbrook_T12__Budget_09.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/d07da98e-Meadowbrook_T12__Budget_09.2025.xlsx,59872
d0dce6cf-St_Elmo_T12__Budget_09.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/d0dce6cf-St_Elmo_T12__Budget_09.2025.xlsx,51551
d23ea34b-Bridgeport_T12__Budget_06.2026.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/d23ea34b-Bridgeport_T12__Budget_06.2026.xlsx,80616
d39a696a-Tuscola_T12__Budget_vs_Actual_02.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/d39a696a-Tuscola_T12__Budget_vs_Actual_02.2025.xlsx,42412
d57c37bc-St_Elmo_T12__Budget_08.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/d57c37bc-St_Elmo_T12__Budget_08.2025.xlsx,48712
d9098781-11.30.25_Petersen_Financial_Statements_-_MTD_Only.xls,Curis,Petersen Group consolidated statement,data/raw/curis/d9098781-11.30.25_Petersen_Financial_Statements_-_MTD_Only.xls,99683
d9328cf5-St_Elmo_T12__Budget_07.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/d9328cf5-St_Elmo_T12__Budget_07.2025.xlsx,62190
da8e3a49-Meadowbrook_T12__Budget_04.2026.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/da8e3a49-Meadowbrook_T12__Budget_04.2026.xlsx,62063
dad0603f-Arcola_T12__Budget_04.2026.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/dad0603f-Arcola_T12__Budget_04.2026.xlsx,62569
dbaaf45e-Bement_T12__Budget_10.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/dbaaf45e-Bement_T12__Budget_10.2025.xlsx,60817
dbea99b4-St_Elmo_T12__Budget_06.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/dbea99b4-St_Elmo_T12__Budget_06.2025.xlsx,44141
dbeddd0a-Mendota_YTD_2026_PL.csv,Allure,Income Statement Trending Detail - GGM,data/raw/allure/dbeddd0a-Mendota_YTD_2026_PL.csv,13462
dd616a49-Farmer_City_T12__Budget_09.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/dd616a49-Farmer_City_T12__Budget_09.2025.xlsx,60341
e180960b-Tuscola_T12__Budget_vs_Actual_03.2025.xlsx,Extendicare,"T12 Budget vs Actual / Balance Sheet, single facility",data/raw/extendicare/e180960b-Tuscola_T12__Budget_vs_Actual_03.2025.xlsx,45104
e2f425a9-Peterson__Breese_April26_PL.xlsx,Evercare,Petersen 4-Pack by-tab workbook (Evercare),data/raw/evercare/e2f425a9-Peterson__Breese_April26_PL.xlsx,65002
